"Eastern Date Hour","Eastern Date Hour Time Zone","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2019/01/14 00:00:00","EST","LONGIL","61762","39.47","3.24","-13.37","1"
"2019/01/14 01:00:00","EST","LONGIL","61762","38.24","3.03","-13.76","1"
"2019/01/14 02:00:00","EST","LONGIL","61762","36.94","2.82","-14.16","1"
"2019/01/14 03:00:00","EST","LONGIL","61762","36","3.39","-8.41","1"
"2019/01/14 04:00:00","EST","LONGIL","61762","37.1","3.8","-3.59","1"
"2019/01/14 05:00:00","EST","LONGIL","61762","45.86","4.01","-9.26","1"
"2019/01/14 06:00:00","EST","LONGIL","61762","53.67","4.61","-8.24","1"
"2019/01/14 07:00:00","EST","LONGIL","61762","62.89","5.39","-8.89","1"
"2019/01/14 08:00:00","EST","LONGIL","61762","59.15","5.75","-6.99","1"
"2019/01/14 09:00:00","EST","LONGIL","61762","53.61","5.4","-7.6","1"
"2019/01/14 10:00:00","EST","LONGIL","61762","57.32","5.21","-15.16","1"
"2019/01/14 11:00:00","EST","LONGIL","61762","50.45","4.98","-11.11","1"
"2019/01/14 12:00:00","EST","LONGIL","61762","47.35","4.87","-9.79","1"
"2019/01/14 13:00:00","EST","LONGIL","61762","47.01","4.9","-10.11","1"
"2019/01/14 14:00:00","EST","LONGIL","61762","47.36","4.92","-10.48","1"
"2019/01/14 15:00:00","EST","LONGIL","61762","50.71","4.86","-13.68","1"
"2019/01/14 16:00:00","EST","LONGIL","61762","69.89","5.66","-25.46","1"
"2019/01/14 17:00:00","EST","LONGIL","61762","76.65","7.15","-18.77","1"
"2019/01/14 18:00:00","EST","LONGIL","61762","75.72","6.77","-21.23","1"
"2019/01/14 19:00:00","EST","LONGIL","61762","74.51","6.37","-25.07","1"
"2019/01/14 20:00:00","EST","LONGIL","61762","70.57","5.65","-28.18","1"
"2019/01/14 21:00:00","EST","LONGIL","61762","61.78","4.99","-24.19","1"
"2019/01/14 22:00:00","EST","LONGIL","61762","43.9","3.83","-15.18","1"
"2019/01/14 23:00:00","EST","LONGIL","61762","39.84","3.47","-12.28","1"
"2019/01/15 00:00:00","EST","LONGIL","61762","40.23","3.73","-11.48","1"
"2019/01/15 01:00:00","EST","LONGIL","61762","40.01","3.36","-14.1","1"
"2019/01/15 02:00:00","EST","LONGIL","61762","37.22","3.1","-13","1"
"2019/01/15 03:00:00","EST","LONGIL","61762","37.28","3.14","-12.65","1"
"2019/01/15 04:00:00","EST","LONGIL","61762","35.57","3.46","-7.71","1"
"2019/01/15 05:00:00","EST","LONGIL","61762","47.4","3.64","-19.01","1"
"2019/01/15 06:00:00","EST","LONGIL","61762","57.64","4.74","-19.5","1"
"2019/01/15 07:00:00","EST","LONGIL","61762","67.87","6.33","-18.48","1"
"2019/01/15 08:00:00","EST","LONGIL","61762","62.15","5.88","-18.06","1"
"2019/01/15 09:00:00","EST","LONGIL","61762","58.55","5.1","-20.97","1"
"2019/01/15 10:00:00","EST","LONGIL","61762","51.46","4.94","-14.2","1"
"2019/01/15 11:00:00","EST","LONGIL","61762","42.39","4.84","-6.29","1"
"2019/01/15 12:00:00","EST","LONGIL","61762","41.52","4.51","-7.71","1"
"2019/01/15 13:00:00","EST","LONGIL","61762","41.89","4.61","-7.93","1"
"2019/01/15 14:00:00","EST","LONGIL","61762","42.34","4.52","-8.82","1"
"2019/01/15 15:00:00","EST","LONGIL","61762","44.43","4.53","-10.85","1"
"2019/01/15 16:00:00","EST","LONGIL","61762","49.09","5.45","-8.66","1"
"2019/01/15 17:00:00","EST","LONGIL","61762","64.39","7.11","-11.39","1"
"2019/01/15 18:00:00","EST","LONGIL","61762","63.34","6.43","-16.46","1"
"2019/01/15 19:00:00","EST","LONGIL","61762","54.33","5.48","-14.61","1"
"2019/01/15 20:00:00","EST","LONGIL","61762","48.86","4.76","-14.88","1"
"2019/01/15 21:00:00","EST","LONGIL","61762","47.6","4.28","-16.71","1"
"2019/01/15 22:00:00","EST","LONGIL","61762","36.59","3.26","-12.61","1"
"2019/01/15 23:00:00","EST","LONGIL","61762","32.45","2.56","-11.36","1"
"2019/01/16 00:00:00","EST","LONGIL","61762","38.89","2.08","-20.06","1"
"2019/01/16 01:00:00","EST","LONGIL","61762","38.56","1.99","-20.09","1"
"2019/01/16 02:00:00","EST","LONGIL","61762","35.72","1.58","-20.61","1"
"2019/01/16 03:00:00","EST","LONGIL","61762","37.3","1.39","-24.28","1"
"2019/01/16 04:00:00","EST","LONGIL","61762","37.83","1.28","-24.99","1"
"2019/01/16 05:00:00","EST","LONGIL","61762","38.92","2.12","-21.01","1"
"2019/01/16 06:00:00","EST","LONGIL","61762","57.76","2.49","-37.61","1"
"2019/01/16 07:00:00","EST","LONGIL","61762","61.53","3.47","-34.33","1"
"2019/01/16 08:00:00","EST","LONGIL","61762","59.5","3.39","-33.41","1"
"2019/01/16 09:00:00","EST","LONGIL","61762","56.31","3.58","-29.61","1"
"2019/01/16 10:00:00","EST","LONGIL","61762","48.08","4","-18.25","1"
"2019/01/16 11:00:00","EST","LONGIL","61762","45.92","3.77","-17.83","1"
"2019/01/16 12:00:00","EST","LONGIL","61762","43.87","3.47","-17.84","1"
"2019/01/16 13:00:00","EST","LONGIL","61762","42.6","3.28","-18.05","1"
"2019/01/16 14:00:00","EST","LONGIL","61762","43.67","3.55","-16.75","1"
"2019/01/16 15:00:00","EST","LONGIL","61762","46.11","3.75","-18.65","1"
"2019/01/16 16:00:00","EST","LONGIL","61762","55.3","4.44","-24.26","1"
"2019/01/16 17:00:00","EST","LONGIL","61762","65.65","5.72","-25.03","1"
"2019/01/16 18:00:00","EST","LONGIL","61762","65.71","5.76","-24.21","1"
"2019/01/16 19:00:00","EST","LONGIL","61762","58.99","4.97","-23.15","1"
"2019/01/16 20:00:00","EST","LONGIL","61762","55.56","4.71","-21.23","1"
"2019/01/16 21:00:00","EST","LONGIL","61762","50.13","4.02","-20.02","1"
