"Eastern Date Hour","Eastern Date Hour Time Zone","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2019/01/21 00:00:00","EST","LONGIL","61762","108.83","6.87","-49.88","1"
"2019/01/21 01:00:00","EST","LONGIL","61762","108.18","7.16","-45.08","1"
"2019/01/21 02:00:00","EST","LONGIL","61762","106.93","6.91","-45.64","1"
"2019/01/21 03:00:00","EST","LONGIL","61762","107.24","8.79","-27.59","1"
"2019/01/21 04:00:00","EST","LONGIL","61762","106.59","9.74","-16.34","1"
"2019/01/21 05:00:00","EST","LONGIL","61762","111.67","8.7","-36.02","1"
"2019/01/21 06:00:00","EST","LONGIL","61762","119.67","12.3","-2.16","1"
"2019/01/21 07:00:00","EST","LONGIL","61762","122.91","13.3","-2.31","1"
"2019/01/21 08:00:00","EST","LONGIL","61762","143.54","16.06","0","1"
"2019/01/21 09:00:00","EST","LONGIL","61762","135.16","15.6","-7.31","1"
"2019/01/21 10:00:00","EST","LONGIL","61762","130.49","15.86","-4.53","1"
"2019/01/21 11:00:00","EST","LONGIL","61762","129.91","15.12","-5.97","1"
"2019/01/21 12:00:00","EST","LONGIL","61762","126.32","13.17","-21.08","1"
"2019/01/21 13:00:00","EST","LONGIL","61762","125.34","11.45","-36.04","1"
"2019/01/21 14:00:00","EST","LONGIL","61762","122.13","10.67","-38.89","1"
"2019/01/21 15:00:00","EST","LONGIL","61762","127.66","10.53","-44.47","1"
"2019/01/21 16:00:00","EST","LONGIL","61762","149.98","10.85","-65.78","1"
"2019/01/21 17:00:00","EST","LONGIL","61762","182.87","14.88","-66.81","1"
"2019/01/21 18:00:00","EST","LONGIL","61762","178","17.03","-41.86","1"
"2019/01/21 19:00:00","EST","LONGIL","61762","177.68","16.18","-49.86","1"
"2019/01/21 20:00:00","EST","LONGIL","61762","159.71","15.32","-42.93","1"
"2019/01/21 21:00:00","EST","LONGIL","61762","132.11","13.34","-29.29","1"
"2019/01/21 22:00:00","EST","LONGIL","61762","119.14","9.41","-43.43","1"
"2019/01/21 23:00:00","EST","LONGIL","61762","113.21","7.13","-55.17","1"
"2019/01/22 00:00:00","EST","LONGIL","61762","107.98","8.03","-42.58","1"
"2019/01/22 01:00:00","EST","LONGIL","61762","103.23","7.32","-44.31","1"
"2019/01/22 02:00:00","EST","LONGIL","61762","100.99","7.43","-41.57","1"
"2019/01/22 03:00:00","EST","LONGIL","61762","103.41","7.41","-44.17","1"
"2019/01/22 04:00:00","EST","LONGIL","61762","107.39","8.47","-34.78","1"
"2019/01/22 05:00:00","EST","LONGIL","61762","112.79","10.54","-22.37","1"
"2019/01/22 06:00:00","EST","LONGIL","61762","134.15","11.95","-0.34","1"
"2019/01/22 07:00:00","EST","LONGIL","61762","145.61","8.11","-0.01","1"
"2019/01/22 08:00:00","EST","LONGIL","61762","136.83","14.55","-0.93","1"
"2019/01/22 09:00:00","EST","LONGIL","61762","120.85","13.54","-3.92","1"
"2019/01/22 10:00:00","EST","LONGIL","61762","116.89","12.71","-16.49","1"
"2019/01/22 11:00:00","EST","LONGIL","61762","113.39","11.56","-27.7","1"
"2019/01/22 12:00:00","EST","LONGIL","61762","112.03","9.94","-35.81","1"
"2019/01/22 13:00:00","EST","LONGIL","61762","110.96","9.13","-40.98","1"
"2019/01/22 14:00:00","EST","LONGIL","61762","109.73","8.69","-44.25","1"
"2019/01/22 15:00:00","EST","LONGIL","61762","110.96","9.34","-39.34","1"
"2019/01/22 16:00:00","EST","LONGIL","61762","114.71","11.14","-26.75","1"
"2019/01/22 17:00:00","EST","LONGIL","61762","134.62","16.1","-1.92","1"
"2019/01/22 18:00:00","EST","LONGIL","61762","134.55","16","-2.68","1"
"2019/01/22 19:00:00","EST","LONGIL","61762","126.21","15.05","-7.3","1"
"2019/01/22 20:00:00","EST","LONGIL","61762","116.72","13.79","-12.16","1"
"2019/01/22 21:00:00","EST","LONGIL","61762","115.07","9.45","-45","1"
"2019/01/22 22:00:00","EST","LONGIL","61762","110.99","6.33","-64.82","1"
"2019/01/22 23:00:00","EST","LONGIL","61762","110.39","6.5","-59.34","1"
"2019/01/23 00:00:00","EST","LONGIL","61762","88.02","2.83","-67.47","1"
"2019/01/23 01:00:00","EST","LONGIL","61762","80.59","2.51","-61.33","1"
"2019/01/23 02:00:00","EST","LONGIL","61762","77.41","2.41","-58.27","1"
"2019/01/23 03:00:00","EST","LONGIL","61762","77.54","2.4","-58.44","1"
"2019/01/23 04:00:00","EST","LONGIL","61762","82.09","2.48","-61.93","1"
"2019/01/23 05:00:00","EST","LONGIL","61762","87.73","2.53","-68.45","1"
"2019/01/23 06:00:00","EST","LONGIL","61762","117.37","6.58","-71.13","1"
"2019/01/23 07:00:00","EST","LONGIL","61762","114.25","9.8","-46.83","1"
"2019/01/23 08:00:00","EST","LONGIL","61762","108.42","8.4","-54.13","1"
"2019/01/23 09:00:00","EST","LONGIL","61762","106.78","5.82","-69.83","1"
"2019/01/23 10:00:00","EST","LONGIL","61762","70.59","7.03","-29.77","1"
"2019/01/23 11:00:00","EST","LONGIL","61762","66.72","7.02","-24.97","1"
"2019/01/23 12:00:00","EST","LONGIL","61762","61.48","5.89","-27","1"
"2019/01/23 13:00:00","EST","LONGIL","61762","60.19","6.29","-25.29","1"
"2019/01/23 14:00:00","EST","LONGIL","61762","60.46","6.37","-25.53","1"
"2019/01/23 15:00:00","EST","LONGIL","61762","60.06","5.83","-27.95","1"
